,timestamp,x,y,z,angle
2631,659.766667,35.618616223206736,-24.587231037100356,0.0,97.27005855851309
2632,659.966667,35.61974652694655,-24.44343714989731,0.0,97.0694509365319
2633,660.133333,35.6212746477556,-24.331387344424027,0.0,94.88384043811595
2634,660.3,35.62245077342446,-24.213019668143946,0.0,93.81728925878978
2635,660.533333,35.62743787488371,-24.06346940880631,0.0,93.75343474671328
2636,660.7,35.641798029516465,-23.965524451666397,0.0,93.55536538307453
2637,660.866667,35.646299281574215,-23.858991494526062,0.0,93.41762854919419
2638,661.066667,35.650771767651314,-23.72680409513318,0.0,90.20693422226245
2639,661.266667,35.658138406895475,-23.59568377325079,0.0,85.21112206327068
2640,661.433333,35.66638329466303,-23.482630211024407,0.0,82.9032769337154
2641,661.6,35.68093561413535,-23.376710538689245,0.0,87.61548949971241
2642,661.766667,35.6847253230103,-23.264837511768587,0.0,87.62671009448681
2643,661.966667,35.68622951314339,-23.129257324498123,0.0,89.52723167559249
2644,662.166667,35.68545952410032,-22.99657873718357,0.0,88.37216721537006
2645,662.366667,35.69410579117799,-22.86900015662322,0.0,85.40884344499248
2646,662.566667,35.69659009768123,-22.72801725376602,0.0,85.98022691972082
2647,662.8,35.703877663564384,-22.56283279745882,0.0,89.11920002017106
2648,662.966667,35.712181230396226,-22.455807181823378,0.0,89.94581368340873
2649,663.166667,35.718974504283985,-22.32495839023956,0.0,90.18842376787775
2650,663.366667,35.72555347371764,-22.192947553179888,0.0,86.65322519644593
2651,663.566667,35.72828402886566,-22.041664097521167,0.0,87.24916212171443
2652,663.733333,35.74714019901064,-21.929037185211786,0.0,87.76870545086511
2653,663.9,35.74913269370963,-21.81223845227982,0.0,88.40121323222023
2654,664.166667,35.75307575849584,-21.621421418600235,0.0,89.30953502048496
2655,664.333333,35.762760085487436,-21.506032998138668,0.0,84.38988924606066
2656,664.533333,35.7758813187431,-21.35766557741033,0.0,85.04242787367077
2657,664.733333,35.795856062891495,-21.20612890970008,0.0,87.71134771042529
2658,664.933333,35.81461319248336,-21.066376216569566,0.0,88.93386997375899
2659,665.166667,35.811565283962814,-20.907922818740136,0.0,90.23223485367085
2660,665.366667,35.815576437178244,-20.766046970830672,0.0,90.25866677278418
2661,665.6,35.82550213495748,-20.600685481565556,0.0,87.37991126033556
2662,665.833333,35.83895646243311,-20.437796606677914,0.0,88.53942265396725
2663,666.033333,35.83410410798735,-20.308045061783183,0.0,91.82296907121544
2664,666.233333,35.832755884190945,-20.176129757400723,0.0,92.712531694041
